round,student_won,student_hp,opponent_hp,elapsed_frames,difficulty_level
0,True,235,78,3600,0.3
1,True,292,0,2585,0.3
2,True,230,64,3600,0.3
3,True,152,2,3600,0.3
4,True,174,0,2452,0.3
5,True,247,0,2751,0.35
6,True,280,37,3600,0.39999999999999997
7,True,127,0,2933,0.44999999999999996
8,True,145,7,3600,0.49999999999999994
9,True,127,0,2499,0.5499999999999999
10,True,229,0,3361,0.6
11,True,7,0,3010,0.65
12,True,52,0,2693,0.7000000000000001
13,True,184,38,3600,0.7500000000000001
14,True,152,150,3600,0.8000000000000002
15,True,13,0,2958,0.8500000000000002
16,True,107,34,3600,0.9000000000000002
17,False,47,50,3600,0.9500000000000003
18,True,52,0,3538,1.0
19,True,17,0,3393,1.0
20,False,0,45,3202,1.0
21,True,52,4,3600,1.0
22,False,24,95,3600,1.0
23,False,0,100,2736,1.0
24,True,152,0,3052,1.0
25,False,0,109,2636,1.0
26,True,109,106,3600,1.0
27,False,66,73,3600,1.0
28,True,101,41,3600,1.0
29,False,0,34,3155,1.0
30,True,122,68,3600,1.0
31,False,0,161,3284,1.0
32,True,39,32,3600,1.0
33,True,163,0,2627,1.0
34,True,52,4,3600,1.0
35,True,100,6,3600,1.0
36,True,87,0,3150,1.0
37,True,47,0,2666,1.0
38,True,140,0,2943,1.0
39,True,39,0,3197,1.0
40,True,4,0,3554,1.0
41,True,56,49,3600,1.0
42,False,0,80,3260,1.0
43,True,44,0,3064,1.0
44,True,48,9,3600,1.0
45,True,40,0,2936,1.0
46,True,57,39,3600,1.0
47,False,0,112,3134,1.0
48,False,0,7,3223,1.0
49,False,0,180,3353,1.0
50,True,106,0,3142,1.0
51,False,0,70,3503,1.0
52,True,135,0,2847,1.0
53,False,0,116,3593,1.0
54,True,150,81,3600,1.0
55,False,0,25,3254,1.0
56,True,132,0,2619,1.0
57,True,121,0,3324,1.0
58,False,2,94,3600,1.0
59,True,56,0,3533,1.0
60,False,0,150,3107,1.0
61,True,76,7,3600,1.0
62,True,37,0,2742,1.0
63,False,0,52,3391,1.0
64,True,177,82,3600,1.0
65,False,102,196,3600,1.0
66,False,0,164,3153,1.0
67,False,0,71,2868,1.0
68,False,52,59,3600,1.0
69,False,0,85,2437,1.0
70,True,62,0,2521,1.0
71,False,0,147,2882,1.0
72,False,44,72,3600,1.0
73,False,0,159,3121,1.0
74,True,67,0,3587,1.0
75,True,4,0,3216,1.0
76,False,0,29,2730,1.0
77,True,91,12,3600,1.0
78,False,0,17,2818,1.0
79,False,0,69,3239,1.0
80,False,132,237,3600,1.0
81,False,25,100,3600,1.0
82,True,23,0,3213,1.0
83,False,57,84,3600,1.0
84,False,0,7,3161,1.0
85,False,0,79,3500,0.95
86,False,0,157,2220,0.8999999999999999
87,False,0,37,3183,0.8499999999999999
88,True,122,0,3088,0.7999999999999998
89,False,0,137,3094,0.7999999999999998
90,False,0,99,3181,0.7999999999999998
91,True,55,35,3600,0.7499999999999998
92,True,32,15,3600,0.7499999999999998
93,True,9,0,3060,0.7499999999999998
94,True,135,94,3600,0.7499999999999998
95,True,27,0,2951,0.7499999999999998
96,True,223,0,2071,0.7499999999999998
97,True,131,0,2945,0.7499999999999998
98,True,162,60,3600,0.7499999999999998
99,False,0,155,3492,0.7499999999999998
100,True,60,0,2926,0.7499999999999998
101,True,107,0,2381,0.7499999999999998
102,True,209,0,2684,0.7499999999999998
103,False,4,56,3600,0.7499999999999998
104,True,54,0,2101,0.7499999999999998
105,False,0,195,3163,0.7499999999999998
106,False,0,75,3017,0.7499999999999998
107,False,0,60,3233,0.7499999999999998
108,True,202,0,2339,0.7499999999999998
109,True,127,0,2377,0.7499999999999998
110,False,0,5,3342,0.7499999999999998
111,True,240,0,3255,0.7499999999999998
112,False,0,7,2222,0.7499999999999998
113,False,0,57,2104,0.7499999999999998
114,True,100,0,2436,0.7499999999999998
115,False,0,187,3099,0.7499999999999998
116,True,97,0,3311,0.7499999999999998
117,False,0,2,2915,0.7499999999999998
118,False,32,32,3600,0.7499999999999998
119,True,159,0,2713,0.7499999999999998
120,True,30,0,3140,0.7499999999999998
121,True,79,0,2741,0.7499999999999998
